ID	Year	Semester	BEFORE taking this class, which of the following did you feel comfortable with?	AFTER finishing this course, which of the following skills do you feel comfortable with?	AFTER finishing this course, which of the following skills do you feel least comfortable with?	What did you think about the format of the R and Python programming tutorials (i.e. do part in-person, finish at home, occasional flipped lectures/recorded lectures)? Let us know if you have any other suggestions!	Do you feel that the mid-semester projects were a valuable experience for you? Do you have any suggestions for how it could be improved?	Do you feel that the final project was a valuable experience for you? Do you have any suggestions for how it could be improved?	Describe the most valuable aspect(s) of this course.	Describe the least valuable aspect(s) of this course.	BEFORE taking this class, were you in a lab?	If you answered No above, how prepared did you feel about joining a lab BEFORE this class?	AFTER completing this course, are you in a lab now?	How prepared do you feel about joining a lab AFTER this class?	If you joined a lab since starting the course, did your experience in this class impact your search at all? If you were already in a lab before taking this course, did you still find this class useful and would you have liked to have taken the class before beginning in your lab? If you are not in a lab yet, how did this class impact your perception of computational research?	Do you have any suggestions for how next semester's instructors can improve this class? (In terms of content, teaching style, pace, accessibility, etc.)	Are there any topics that you would have liked to see in more detail? (i.e. biological background, machine learning, stats, high-performance cluster, etc.)	Any other questions, comments, or concerns about this course?
S12	2023	Fall	Reading and Comprehending Scientific Literature	Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	Definitely! They improved the versatility of my understanding of R and Python and helped my debugging skills.	Yes, experience in developing my own computational project is a skill directly translatable to my research endeavors. This was a very well-rounded project and I can't think of much to be improved, but more opportunities for feedback on the research paper could have been helpful.	Video tutorials, meeting other QBio students (I've never seen one in the wild), resume feedback, and the direct applicability of the skills we learn to research.	Personally, I am going to say the "finding a lab" lecture because I was already in one haha. This entire course has been so transformative in my understanding of QBio and I cannot think of an aspect that wasn't valuable.	Yes	NA	Yes	NA	Having no programming experience prior to taking this course, I found it to be extremely useful as my lab also works with large amounts of data but is mainly focused on wet lab. I would have liked to take this course before beginning in my lab.		NA	NA
S14	2023	Fall	Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	It worked well!	They were good. But could see how they could be extremely challenging for someone with less coding experience. Especially the ML. That was a lot to cram in just a week or two.	Extremely valuable. Just make it less work for people. Maybe cut down some mid-semester content and start focusing on it like halfway through the semester..	Learned a ton.	NA	Yes	NA	Yes	NA	Yes I still found the class useful. I kinda took it as I was getting started in my lab so it was helpful	Just less work so down on content i suppose. This class was more work than my other 4-unit classes. I could see how it could really mess up people's performance in some of their other classes.	Could have talked about stats more, but there are other courses in that and already so much to cover in this course.	Great experience overall, despite the large workload. You guys did a fantastic job teaching. Thanks so much for all you put in to the course.
S9	2023	Fall	Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	It worked well!	Yes! I think they were a very complete way to connect what we just learned with things we had learned before and ensure we know how to apply and use them before getting to the big final project. 	Yes!	Very interesting, fun and overall a nice experience. I've never seen the level of comraderie I saw in this class in ANY other class I've taken. I think also learning from my peers aside from the instructors was a big advantage. And also the instructors being around our age I feel like made it easier to ask for help or simply admit that I didn't understand something.	None, I think it was a positive experience. 	Yes	NA	Yes	NA	This class was very useful despite already being in a lab. I learned a lot about analysis methods and ways to go about analyzing stuff. I would've liked to take this class before joining in a lab so I would've realized that computational stuff is more interesting than wetlab stuff for me.	I think some of my peers said they felt like the class was a bit confusing in the coding portions for people that had no prior coding experience. Personally, I don't see this but I had experience before. But the people that said that didn't hesitate to ask for help, which I think really helped to build community in this class cohort, so it worked out in the end and I don't think it was an entirely bad thing then. 	ML	I've said this 1000x times, but very cool! Good job guys :) Really impressive that you all put in so much time and effort to help us and go above and beyond WHILE being students. Thank you!!
S7	2023	Fall	Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	It worked well!	I feel like some review sessions/re-caps of basic functions in both R and Python could be helpful just to provide a refresher (esp since many of us are overwhelmed with information learning programming for the first time) 	The final project was super valuable in "putting it all together" and seeing how many different applications there were to what we learned in the class. I think a bit more time and guidance in formulating initial hypothesis/analyses would be helpful so working on it wouldn't be so last-minute. 	Definitely all the R and Python assignments and the final project. 	literature presentations? I think many of us already had similar experiences before - it could have been more helpful to dive right into curriculum and allow more time for work on the final project at the end. 	Yes	NA	Yes	4	I was in a wet lab so all these computational techniques were all new to me. I'm glad I took this course because now I feel like I have enough background so that I can join a computational lab and be prepared. 	More in-class coding time for some of the assignments especially at the beginning of the semester could help with the initial learning curve. 	NA	NA
S3	2023	Fall	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills	NA	Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	It served as a good reference for what we learned	NA	The data analysis and computation skills exposed to in the course	Not sure	Yes	NA	Yes	4	The experience in this class made me feel more comfortable reaching out to computational labs rather than just wet labs	I felt like the python section was more brief than the R section, which I would want to see more of	I felt like machine learning could have been explained more in detail	NA
S11	2023	Fall	Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	It worked well!	I think it was very valuable and helped cement a lot of skills in R	I think the final project was very valuable in both reviewing and training how to solve problems.	Provided a strong introduction to coding in R and an introduction to python.	I think everything taught was valuable!	Yes	NA	Yes	4	I found this course very helpful in further training my skills in coding and communicating scientific literature. I think it definitely helped me feel more comfortable in my lab.	NA	NA	NA
S6	2023	Fall	Basic R (i.e. syntax, documentation, etc.), Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	Prefer to have a formal lecture introduction of everything in-person, then do practice questions at home.	They were valuable. They all kind of led up to be used as source/code material for the final project.	I'm not sure if we got many meaningful results out of it, but I definitely recommend the experience for any QBIO student. Probably one of the coolest classes I've taken so far, if not also one of the... most headache-inducing?	All the skills in R and Python, along with how do this kind of research.	The actual results of our final presentation.	Yes	NA	Yes	3	I was already working with some people in the Edge Lab before this, and we used different software in that lab. However, I used R often there (tidyverse, etc) and I think the overall skills are a great thing to have.	Please do not hold this class from 8:30 to 9:30 pm ever. Thank you.	NA	To all the people involved running this course - Thank you all very much for your hard work. I can only imagine how hard it must be to run this course from the other side; as a student I had trouble trying to make sense of everything at times.
56	2023	Spring	Presentation Skills	Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / Github, Machine Learning (sklearn, classification, dimensionality reduction, etc)	Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	I felt that I spent too much time on the mid-semester project but that might have been my fault as a student. I did enjoy being able to apply the coding and analysis skills.	I felt kind of alienated from the actual research aspect of my final project, it felt like I was kind of just doing analyses just to do them. Maybe having suggested directions to take your research in would help you feel more connected to the research but I felt that overall the final project was super interesting.	Learning the hard skills of coding + getting more chances to read literature	I felt that most of the course was pretty relevant, but maybe cut down on some introduction stuff so that the coding classes can be expanded and not as rushed?	No	NA	Yes	NA	My time in the class made me feel more confident in my ability to be useful in a lab.	Some of the coding sections felt really rushed to get through everything, maybe having part of the code taught online before class (such as basic syntax + skills) would allow the more complicated and integrated skills aspects to be taught and explained better.	I would like the CARC and machine learning aspects explained more, as I still don't really know how either one really works.	NA
57	2023	Spring	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc), Presentation Skills, Reading and Comprehending Scientific Literature	Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.)	It worked well!, Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	I think that it was a valuable experience. It would be better if it was also a group project though, as working alone for both coding and paper-writing can be quite exhausting and daunting.	The final project was a valuable experience, I learned a lot and was able to apply a lot of my coding and research skills. I think the current plan for the final is pretty good. Making it a group project is good.	R and python skills.	Although still very valuable, reading/analysis skills for scientific papers.	Yes	NA	Yes	NA	I was already in a lab, but the things we did in this class will greatly impact my performance in the lab since I am in a dry lab, and we work with code a lot.	Just midterm plan, from solo to group would be nice.	Machine learning maybe. It was really interesting.	NA
58	2023	Spring	Presentation Skills, Reading and Comprehending Scientific Literature	Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc)	It worked well!	Yes, since it was a good review of all the content we learned.	It was a lot of work, but it was cool to present what we found.	Presenting our research.	Some aspects of R and python.	Yes	NA	Yes	NA	I did not think that this class was that helpful since I was already in a lab.	NA	NA	NA
S66	2024	Spring	Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	yes	yes	meeting qbio kids	the amount of things we had to turn in was overwhelming	No	NA	No	4	Now i know what it is	This felt like way more than 2 units	R unit moved really fast	NA
S62	2024	Spring	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Reading and Comprehending Scientific Literature	NA	It worked well!	I felt that mid-semester projects were incredibly valuable for me; however, I noticed that despite the class being only 2-units, they took a significant amount of time. I felt that I improved heavily but in-line with a 4 unit data analysis or even computer science course. I feel that near the end, where there is more provided coding guidelines, I felt I had more flexibility with my time and more enjoyment with the assignment. 	I felt that the final project was not as valuable for me as it could have been. I think more solidified deadlines could help groups with projects. 	Applied knowledge of Python and R data analysis.	The amount of time some of the projects took for redundant things. 	No	2	No	4	I definitely felt more intrigued with the dry lab aspect from taking this course. I was in a lab prior to taking this course, but left because I had a horrible experience. Taking this course makes me want to join a lab again, simply because of the skills I learned and the passion I gained with data analysis. 	NA	NA	NA
S65	2024	Spring	Basic R (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	It worked well!	Yes, no suggestions	Very valuable, my only suggestion would be to make groups a bit smaller so theyre easier to coordinate (maybe groups of 3)	The skills developed were definitely highly valuable	The least valuable aspect would be the command line part - not because its not useful, but because it is the least valuable when compared to the other stuff - everything was useful	No	3	Yes	5	I don't think I like computational research as much as wet labs	NA	NA	NA
S58	2024	Spring	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	It worked well!	Yes! I liked having a summary of everything we'd done in R and Python, and I felt like it really solidified my understanding.	Nothing other than what I said earlier! I think the writing portion could be cut down on or eliminated.	I like the practical skills you learn in R and Python. I think I gained a lot of basic experience over the semester!	I think as a junior, some of the course was more tailored toward underclassmen. Which is fine!	Yes	NA	Yes	NA	I was in a lab before taking this course, and I still found it useful! I liked being exposed to a broader range of computational methods, compared to previously being mostly focused on what I was doing in the lab. 	The native interface for Jupyter Notebooks is a little awkard and not most friendly IDE to work in for Python. I ended up just using VSCode with WSL instead, but not sure if that's easier/harder to figure out as a class!	Nope!	NA
S57	2024	Spring	Command Line / GitHub, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	It worked well!	Yes, I feel they were a valuable experience	Yes, the final project was a valuable experience; however, distributing the work evenly among group members and ensuring communication are areas for improvement	The most valuable aspects of this course are the introduction to research and data analysis skills	None	Yes	NA	Yes	NA	Though I was already in a lab before taking this course, I still found the class useful and I would definitely have liked to take this class before beginning in my lab	None	More time spent on machine learning 	Are you looking for student assistants for next semester?
S67	2024	Spring	Basic R (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	yes i feel that they were valuable and a good visual summary of our work in R and Python, individually. i felt like the python review project had a heavy focus on machine learning while it could have covered more of the other python material that we covered in lecture and on previous homeworks. i really enjoy revisiting my folder for the r review project and seeing all of the plots i had created for the project and thus had learned how to create in this class. it is a good checkpoint in my learning of multi-omics.	it was great to meet and work with other students in the department. however, in the future i think it could be helpful to provide examples of previous/potential projects to accommodate the sparse guidelines in terms of research project focus.	introduction and exposure to R and Python, introduction to machine learning	i feel like the homework assignments were each really long because they often included a tutorial component with it, so possibly doing the tutorial component as a class or something like that would be more beneficial, or possibly dedicating time in class to doing the assignment, or somehow incorporating it into the lesson plan? i'm not sure what would be the best solution if there is one at all, as well as if one is necessary, but i feel like because the homework assignments are lengthy students are discouraged from paying attention during lecture.	Yes	NA	No	5	answering the second question: yes i still found this class incredibly useful to help me become more familiarized with Python and the terminal/GitHub.	NA	pca!!	NA
S63	2024	Spring	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Reading and Comprehending Scientific Literature	NA	It worked well!	Yes, they were great.	Yes. I just wish I had figured out that last bit of code I was working on sooner so I could have written more.	Hands on experience.	Questions from the lecturer and the awkward silences that followed.	Yes	NA	No	NA	No.	NA	NA	This is an incredibly valuable course. I only wish I had taken in it in this form when I was a freshman.
S75	2024	Fall	Command Line / GitHub, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature		Prefer to have a formal lecture introduction of everything in-person, then do practice questions at home.	Yes though they are a bit long	Yes. The final presentation can be a bit less formal in terms of dress code maybe?	Meeting peers; intro to R	n/a	Yes	2	Yes	4	yes, i have found the class to be useful and very helpful when I need to occasionally look at DEG data at my wet lab.	I feel like the pace was slow in the beginning, and suddenly really fast between mid semester to the final project, maybe we can spread the workload out a bit more?	n/a	n/a
S71	2024	Fall	Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Presentation Skills, Reading and Comprehending Scientific Literature		Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	I felt that it was a valuable experience, but that it was difficult to do. I would have liked if we were provided a template/outline for the mid-semester project to help guide us in writing the code (like a similar set-up that the assignments have with tips and hints). I also wish we had more time to complete the project.	I felt that the final project was a valuable experience for me. I just wished we had more time to do the project, maybe an entire month versus 2-3 weeks. I also found the group meetings with the instructors really helpful; I think having more check-ins with the instructors throughout the projects would make things easier.	The most valuable aspects of this course was the individual meetings with the instructors and office hours. All of the instructors were always eager to help, and were understanding about students' individual needs for additional assistance and extensions.	I felt everything was valuable. I think the course could be improved, though, if there was more time for in-class instruction.	No	1	No	3	I am not in a lab yet, but taking this class made my perception of computational research feel less scary. I was initially nervous about joining a lab, but I now feel that I have a good foundation of introductory skills to join a lab.	I know there is not a lot of time available for this class, but I think it would be really helpful if more time could be granted to complete the final group project. I also think more in-class instruction time would be valuable, like possibly increasing the class length from 1 hour twice a week to 1.5 hours twice a week.	I would like to have seen more of the coding in detail. I think slower-paced, more thorough coding lectures would be helpful, especially for completing assignments (video or in-person).	I enjoyed the course overall. It felt less stressful than other courses in the sense that it was taught by your peers who understand what it's like to be a student themselves.
S74	2024	Fall	Command Line / GitHub, Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills, Reading and Comprehending Scientific Literature		Prefer to have a formal lecture introduction of everything in-person, then do practice questions at home.	It was pretty good and builded upon the previous coding assignments. It could have been potentially improved by doing an in-class review of the skills prior to the project.	It was pretty good as it helped us really apply and understand more in-depth the reasons why we did the analysis and plotting, paired with scientific literature and presentation. I think  it could be improved by spacing the checkpoints out more, such as starting earlier if possible, but otherwise it was good.	Learning bioinformatics and multi-omic cancer analysis in R using TCGA data, connecting with other QBIO majors	N/A?	No	3	No	4	It was a good introduction to R for cancer data analysis, and I am still interested in diving more into this field of research.	Overall, I enjoyed this course and I thank Mahija and Wade for being great instructors especially being full-time students simultaneously. In terms of pacing, I think it could be good to establish a consistent pace especially with the final projects. In terms of content, it could be helpful to have focus on understanding what each plot means, when and why to use it, and connecting it back to biological understandings (can help for the final project).	Maybe understanding more of the epigenomics side, such as how to interpret the UCSC genome browser	
S85	2024	Fall	Basic R (i.e. syntax, documentation, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature		It worked well!	Yes, reading the articles and presenting was good prep for the final.	Yes. It could maybe improved by requiring people to look into different datasets. Possibly try and receive permission to access a private one	TCGA data	Recap	Yes		No		Yes I would have	Some of the coding assignments were difficult just using the slides.		
S80	2024	Fall	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills, Reading and Comprehending Scientific Literature		It worked well!	Yes, because it covered everything we had learned up till that point and allowed me to learn methylation analysis better.	Yes, it was a valuable experience for me.	Review project, all of the assignments because I  learned something new each time. The final project was also valuable because we got to devise our own research question and answer it.	N/A	Yes		Yes		This class was very useful because now I’ve learned about various R packages that can be used in my research (e.g. making survival plots, volcano plots)		Would be cool to see a unit on machine learning as that is becoming very popular in cancer research.	
S73	2024	Fall	Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Presentation Skills, Reading and Comprehending Scientific Literature		Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	The literature presentation was okay, but seemed a little busy. I would rather have worked on technical skills in R, but I understand that the project is necessary to complete the scientific literature objective.	I learned a lot during the coding portion of the final project. I wish we learned more about the function of p-values in class (though I understand this is a QBIO 305/310 concept).	Coding in R	Literature review	No	2	No	5	I am more comfortable looking into dry lab research now.	All good!	Statistics (p-values). There were some proteomics charts during the final presentations that I was unfamiliar with and would like to learn too.	
S81	2024	Fall	Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Reading and Comprehending Scientific Literature		It worked well!	Yeah it felt pretty valuable, can't really think of anything to improve it.	Overall yes, I did not expect it to take so much time because thsiwas a 2 unit course, but yes I did learn a lot.	Learning R. The main thing I got from this course were the basics of R.	Comprehending scientific paper did not feel that useful, or at least, we didn't need to spend as much time as we did on it.	Yes		Yes	5	I found another lab halfway through this course, so this course was pretty helpful because I do need to use R in the lab.	Don't spend as much emphasis on scientific literature.		
S72	2024	Fall	Command Line / GitHub, Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Reading and Comprehending Scientific Literature		It worked well!	Yes! I think it was a good foundation for the final project but also a good way to familiarize ourselves with current applications of the tools we were learning about.	The final project was valuable in being able to put everything that I had learned together, but I felt like the timing of it was pretty stressful since it overlapped with so many of my last midterms and projects for other courses. I'm not sure if that last point can be improved on though seeing how that's just what happens at the end of the semester.	The most valuable aspect of this course was learning to use CARC.	The least valuable aspect of this course for me would be some of the in-class code-along days just because it was sometimes difficult to see the code on the projector, and then once I fell behind, it wasn't something I could catch up on in the moment.	Yes		Yes		I think when I first started my computational lab work, I was a little overwhelmed with scientific programming since I had so little experience with it. Now, I do a lot of cell clustering and dimensionality reduction, and even though it doesn't directly overlap with the tools from this course, I think having this course as experience beforehand would have given me more confidence going into my lab.	I think the code itself is one of the easier parts to figure out, but the underlying logic could be better explained in lecture, for example, the value in looking at germ-line vs somatic mutation data or understanding the mutation types.		
S79	2024	Fall	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Presentation Skills, Reading and Comprehending Scientific Literature		Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	Yes, very meaningful experience to be able to practice all the skill on SKCM	Yes, but as I mentioned, more time could be given	Cooperation, R skills, and being able to use CARC	Paper writing kinda needs more instruction	No		No	5	Great demonstration of how a QBIO research would be like			
S82	2024	Fall	Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Reading and Comprehending Scientific Literature		It worked well!	The R-review project (??) was a good way to recap everything	I do, even though it was difficult and I dislike presenting, I feel like it was valuable experience	Definitely experience, being exposed to these topics and R is very helpful, also I enjoyed meeting other students and the Ellison Institute	felt like a lot of work for 2 units	No	1	No	3	I think I want to do computational research, or at least smt dry.	Pace at the end was extremely fast compared to the much slower pace in the beginning.		
